controlNumber,instrumentId,localName,englishName,alternateName,province,city,ethnolinguistic,fileName,fileType,declaredSizeMb,bytes,relativePath,sourcePath,sourceUrl,caption,status
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N4_P1_S2.mp3,audio/mpeg,0.022,23031,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N4_P1_S2.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N4_P1_S2.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N4_P1_S2.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N3_P1_S3.mp3,audio/mpeg,0.024,25539,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N3_P1_S3.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N3_P1_S3.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N3_P1_S3.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N2_P1_S5.mp3,audio/mpeg,0.018,18852,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N2_P1_S5.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N2_P1_S5.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N2_P1_S5.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N3_P1_S2.mp3,audio/mpeg,0.030,30973,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N3_P1_S2.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N3_P1_S2.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N3_P1_S2.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N2_P1_S4.mp3,audio/mpeg,0.019,19688,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N2_P1_S4.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N2_P1_S4.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N2_P1_S4.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N2_P1_S3.mp3,audio/mpeg,0.018,18434,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N2_P1_S3.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N2_P1_S3.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N2_P1_S3.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N16_P1_S7.mp3,audio/mpeg,0.017,17598,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N16_P1_S7.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S7.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S7.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N16_P1_S2.mp3,audio/mpeg,0.017,17598,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N16_P1_S2.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S2.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S2.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N1_P1_S1.mp3,audio/mpeg,0.022,23449,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N1_P1_S1.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N1_P1_S1.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N1_P1_S1.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
PIISD02596,SW5zdHJ1bWVudFR5cGU6MjU5Ng==,Gabbang,Bamboo xylophone,,Sulu,Jolo,Tausug,ILGN_TSG_Gabbang_N16_P1_S1.mp3,audio/mpeg,0.018,19270,audio/PIISD02596__gabbang/ILGN_TSG_Gabbang_N16_P1_S1.mp3,media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S1.mp3,https://katunog.asti.dost.gov.ph/files/media/PIISD02596/audio/ILGN_TSG_Gabbang_N16_P1_S1.mp3,Fieldwork Filename Description: Location _ Ethnic Group _ Instrument Name _ Note number _ Playing Style number _ Sample Number . mp3. See image file _Readme - Filename Description.jpg for the complete details.,optimized-audio-only
